class_one,class_one_idx,class_two,class_two_idx,class_three,class_three_idx,class_four,class_four_idx
Services,,Child Care Service,207,Daycare,207,,
Services,,Construction & Landscaping,266,,,,
Services,,Credit Union,131,,,,
Services,,Currency Exchange,241,,,,
Services,,Design Studio,59,,,,
Services,,Dry Cleaner,140,,,,
Services,,EV Charging Station,120,,,,
Services,,Entertainment Services,44,,,,
Services,,Event Services,294,,,,
Services,,Film Studio,243,,,,
Services,,Financial / Legal Services,131,,,,
Services,,Garden Center,56,,,,
Services,,Gas Station,121,,,,
Services,,Health & Beauty Services,46,,,,
Services,,Home Services,328,,,,
Services,,IT Services,137,,,,
Services,,Insurance Office,44,,,,
Services,,Laundry Service,140,,,,
Services,,Lawyer,244,,,,
Services,,Locksmith,245,,,,
Services,,Massage Studio,23,,,,
Services,,Nail Salon,246,,,,
Services,,Pet Service,38,,,,
Services,,Photography Lab,66,,,,
Services,,Photography Studio,66,,,,
Services,,Piercing Parlor,248,,,,
Services,,Public Bathroom,247,,,,
Services,,Real Estate Office,250,,,,
Services,,Recording Studio,251,,,,
Services,,Recycling Facility,252,,,,
Services,,Rental Service,44,,,,
Services,,Salon / Barbershop,50,,,,
Services,,Sauna / Steam Room,253,,,,
Services,,Shoe Repair,254,,,,
Services,,Spa,23,,,,
Services,,Storage Facility,148,,,,
Services,,Tanning Salon,255,,,,
Services,,Tattoo Parlor,249,,,,
Services,,Travel Agency,256,,,,
Travel & Transport,,Airport,58,Airport Food Court,5,,
Travel & Transport,,Airport,58,Airport Gate,58,,
Travel & Transport,,Airport,58,Airport Lounge,70,,
Travel & Transport,,Airport,58,Airport Service,58,,
Travel & Transport,,Airport,58,Airport Terminal,58,,
Travel & Transport,,Airport,58,Airport Tram,90,,
Travel & Transport,,Airport,58,Baggage Claim,230,,
Travel & Transport,,Airport,58,Plane,58,,
Travel & Transport,,Baggage Locker,260,,,,
Travel & Transport,,Bike Rental / Bike Share,31,,,,
Travel & Transport,,Boat Rental,261,,,,
Travel & Transport,,Boat or Ferry,261,,,,
Travel & Transport,,Border Crossing,262,,,,
Travel & Transport,,Bus Station,134,Bus Line,134,,
Travel & Transport,,Bus Station,134,Bus Stop,134,,
Travel & Transport,,Cable Car,264,,,,
Travel & Transport,,Cruise,261,,,,
Travel & Transport,,Duty-Free Shop,4,,,,
Travel & Transport,,General Travel,256,,,,
Travel & Transport,,Heliport,265,,,,
Travel & Transport,,Hotel,41,Bed & Breakfast,41,,
Travel & Transport,,Hotel,41,Boarding House,267,,
Travel & Transport,,Hotel,41,Hostel,267,,
Travel & Transport,,Hotel,41,Hotel Pool,11,,
Travel & Transport,,Hotel,41,Motel,41,,
Travel & Transport,,Hotel,41,Resort,268,,
Travel & Transport,,Hotel,41,Roof Deck,269,,
Travel & Transport,,Hotel,41,Vacation Rental,268,,
Travel & Transport,,Intersection,271,,,,
Travel & Transport,,Light Rail Station,90,,,,
Travel & Transport,,Metro Station,90,,,,
Travel & Transport,,Moving Target,146,,,,
Travel & Transport,,Pier,272,,,,
Travel & Transport,,Port,105,,,,
Travel & Transport,,RV Park,273,,,,
Travel & Transport,,Rental Car Location,274,,,,
Travel & Transport,,Rest Area,275,,,,
Travel & Transport,,Road,276,,,,
Travel & Transport,,Taxi Stand,277,,,,
Travel & Transport,,Taxi,277,,,,
Travel & Transport,,Toll Booth,262,,,,
Travel & Transport,,Toll Plaza,262,,,,
Travel & Transport,,Tourist Information Center,278,,,,
Travel & Transport,,Train Station,103,Platform,103,,
Travel & Transport,,Train Station,103,Train,103,,
Travel & Transport,,Tram Station,90,,,,
Travel & Transport,,Transportation Service,279,,,,
Travel & Transport,,Travel Lounge,70,,,,
Travel & Transport,,Tunnel,280,,,,
Professional & Other Places,,College & University,22,College Academic Building,281,College Arts Building,281
Professional & Other Places,,College & University,22,College Academic Building,281,College Communications Building,281
Professional & Other Places,,College & University,22,College Academic Building,281,College Engineering Building,281
Professional & Other Places,,College & University,22,College Academic Building,281,College History Building,281
Professional & Other Places,,College & University,22,College Academic Building,281,College Math Building,281
Professional & Other Places,,College & University,22,College Academic Building,281,College Science Building,281
Professional & Other Places,,College & University,22,College Academic Building,281,College Technology Building,281
Professional & Other Places,,College & University,22,College Administrative Building,281,,
Professional & Other Places,,College & University,22,College Auditorium,285,,
Professional & Other Places,,College & University,22,College Bookstore,282,,
Professional & Other Places,,College & University,22,College Cafeteria,5,,
Professional & Other Places,,College & University,22,College Classroom,281,,
Professional & Other Places,,College & University,22,College Gym,6,,
Professional & Other Places,,College & University,22,College Lab,86,,
Professional & Other Places,,College & University,22,College Library,9,,
Professional & Other Places,,College & University,22,College Quad,182,,
Professional & Other Places,,College & University,22,College Rec Center,1,,
Professional & Other Places,,College & University,22,College Residence Hall,267,,
Professional & Other Places,,College & University,22,College Stadium,158,College Baseball Diamond,60
Professional & Other Places,,College & University,22,College Stadium,158,College Basketball Court,112
Professional & Other Places,,College & University,22,College Stadium,158,College Cricket Pitch,182
Professional & Other Places,,College & University,22,College Stadium,158,College Football Field,94
Professional & Other Places,,College & University,22,College Stadium,158,College Hockey Rink,109
Professional & Other Places,,College & University,22,College Stadium,158,College Soccer Field,61
Professional & Other Places,,College & University,22,College Stadium,158,College Tennis Court,107
Professional & Other Places,,College & University,22,College Stadium,158,College Track,200
Professional & Other Places,,College & University,22,College Theater,154,,
Professional & Other Places,,College & University,22,Community College,22,,
Professional & Other Places,,College & University,22,Fraternity House,284,,
Professional & Other Places,,College & University,22,General College & University,281,,
Professional & Other Places,,College & University,22,Law School,281,,
Professional & Other Places,,College & University,22,Medical School,281,,
Professional & Other Places,,College & University,22,Sorority House,284,,
Professional & Other Places,,College & University,22,Student Center,281,,
Professional & Other Places,,College & University,22,Trade School,281,,
Professional & Other Places,,College & University,22,University,22,,
Professional & Other Places,,Animal Shelter,309,,,,
Professional & Other Places,,Auditorium,285,,,,
Professional & Other Places,,Ballroom,155,,,,
Professional & Other Places,,Building,339,,,,
Professional & Other Places,,Business Center,286,,,,
Professional & Other Places,,Club House,1,,,,
Professional & Other Places,,Community Center,1,,,,
Professional & Other Places,,Convention Center,289,Meeting Room,290,,
Professional & Other Places,,Cultural Center,291,,,,
Professional & Other Places,,Distillery,292,,,,
Professional & Other Places,,Distribution Center,299,,,,
Professional & Other Places,,Event Space,293,Outdoor Event Space,294,,
Professional & Other Places,,Factory,295,,,,
Professional & Other Places,,Fair,296,,,,
Professional & Other Places,,Cemetery,141,,,,
Professional & Other Places,,Funeral Home,141,,,,
Professional & Other Places,,Government Building,147,Capitol Building,147,,
Professional & Other Places,,Government Building,147,City Hall,147,,
Professional & Other Places,,Government Building,147,Courthouse,297,,
Professional & Other Places,,Government Building,147,Embassy / Consulate,147,,
Professional & Other Places,,Government Building,147,Fire Station,114,,
Professional & Other Places,,Government Building,147,Monument / Landmark,298,,
Professional & Other Places,,Government Building,147,Police Station,116,,
Professional & Other Places,,Government Building,147,Town Hall,147,,
Professional & Other Places,,Industrial Estate,295,,,,
Professional & Other Places,,Laboratory,300,,,,
Professional & Other Places,,Library,9,,,,
Professional & Other Places,,Medical Center,117,Acupuncturist,301,,
Professional & Other Places,,Medical Center,117,Alternative Healer,304,,
Professional & Other Places,,Medical Center,117,Chiropractor,302,,
Professional & Other Places,,Medical Center,117,Dentist's Office,126,,
Professional & Other Places,,Medical Center,117,Doctor's Office,303,,
Professional & Other Places,,Medical Center,117,Emergency Room,326,,
Professional & Other Places,,Medical Center,117,Eye Doctor,305,,
Professional & Other Places,,Medical Center,117,Hospital,117,Hospital Ward,117
Professional & Other Places,,Medical Center,117,Maternity Clinic,303,,
Professional & Other Places,,Medical Center,117,Medical Lab,300,,
Professional & Other Places,,Medical Center,117,Mental Health Office,306,,
Professional & Other Places,,Medical Center,117,Nutritionist,307,,
Professional & Other Places,,Medical Center,117,Physical Therapist,303,,
Professional & Other Places,,Medical Center,117,Rehab Center,117,,
Professional & Other Places,,Medical Center,117,Urgent Care Center,117,,
Professional & Other Places,,Medical Center,117,Veterinarian,308,,
Professional & Other Places,,Military Base,310,,,,
Professional & Other Places,,Non-Profit,286,,,,
Professional & Other Places,,Observatory,152,,,,
Professional & Other Places,,Office,286,Advertising Agency,44,,
Professional & Other Places,,Office,286,Campaign Office,44,,
Professional & Other Places,,Office,286,Conference Room,290,,
Professional & Other Places,,Office,286,Corporate Amenity,286,,
Professional & Other Places,,Office,286,Corporate Cafeteria,5,,
Professional & Other Places,,Office,286,Corporate Coffee Shop,19,,
Professional & Other Places,,Office,286,Coworking Space,286,,
Professional & Other Places,,Office,286,Tech Startup,286,,
Professional & Other Places,,Parking,123,,,,
Professional & Other Places,,Post Office,132,,,,
Professional & Other Places,,Power Plant,295,,,,
Professional & Other Places,,Prison,311,,,,
Professional & Other Places,,Radio Station,312,,,,
Professional & Other Places,,Recruiting Agency,44,,,,
Professional & Other Places,,Research Station,286,,,,
Professional & Other Places,,School,281,Adult Education Center,281,,
Professional & Other Places,,School,281,Circus School,281,,
Professional & Other Places,,School,281,Cooking School,281,,
Professional & Other Places,,School,281,Driving School,315,,
Professional & Other Places,,School,281,Elementary School,281,,
Professional & Other Places,,School,281,Flight School,281,,
Professional & Other Places,,School,281,High School,281,,
Professional & Other Places,,School,281,Language School,281,,
Professional & Other Places,,School,281,Middle School,281,,
Professional & Other Places,,School,281,Music School,68,,
Professional & Other Places,,School,281,Nursery School,258,,
Professional & Other Places,,School,281,Preschool,258,,
Professional & Other Places,,School,281,Private School,281,,
Professional & Other Places,,School,281,Religious School,281,,
Professional & Other Places,,School,281,Swim School,11,,
Professional & Other Places,,Social Club,316,,,,
Professional & Other Places,,Spiritual Center,88,Buddhist Temple,136,,
Professional & Other Places,,Spiritual Center,88,Cemevi,88,,
Professional & Other Places,,Spiritual Center,88,Church,98,,
Professional & Other Places,,Spiritual Center,88,Confucian Temple,136,,
Professional & Other Places,,Spiritual Center,88,Hindu Temple,318,,
Professional & Other Places,,Spiritual Center,88,Kingdom Hall,88,,
Professional & Other Places,,Spiritual Center,88,Monastery,98,,
Professional & Other Places,,Spiritual Center,88,Mosque,319,,
Professional & Other Places,,Spiritual Center,88,Prayer Room,88,,
Professional & Other Places,,Spiritual Center,88,Shrine,320,,
Professional & Other Places,,Spiritual Center,88,Synagogue,321,,
Professional & Other Places,,Spiritual Center,88,Temple,88,,
Professional & Other Places,,Spiritual Center,88,Terreiro,88,,
Professional & Other Places,,TV Station,322,,,,
Professional & Other Places,,Voting Booth,323,,,,
Professional & Other Places,,Warehouse,148,,,,
Professional & Other Places,,Waste Facility,324,,,,
Professional & Other Places,,Wedding Hall,91,,,,
Professional & Other Places,,Winery,2,,,,
Professional & Other Places,,Residence,325,Assisted Living,329,,
Professional & Other Places,,Residence,325,Home (Private),65,,
Professional & Other Places,,Residence,325,Housing Development,327,,
Professional & Other Places,,Residence,325,Residential Building (Apartment / Condo),325,,
Professional & Other Places,,Residence,325,Trailer Park,273,,
Professional & Other Places,,Event,293,Christmas Market,287,,
Professional & Other Places,,Event,293,Conference,290,,
Professional & Other Places,,Event,293,Convention,289,,
Professional & Other Places,,Event,293,Festival,296,,
Professional & Other Places,,Event,293,Line / Queue,293,,
Professional & Other Places,,Event,293,Music Festival,330,,
Professional & Other Places,,Event,293,Other Event,294,,
Professional & Other Places,,Event,293,Parade,296,,
Professional & Other Places,,Event,293,Stoop Sale,287,,
Professional & Other Places,,Event,293,Street Fair,287,,
Professional & Other Places,,States & Municipalities,331,City,331,,
Professional & Other Places,,States & Municipalities,331,County,331,,
Professional & Other Places,,States & Municipalities,331,Country,331,,
Professional & Other Places,,States & Municipalities,331,Neighborhood,331,,
Professional & Other Places,,States & Municipalities,331,State,331,,
Professional & Other Places,,States & Municipalities,331,Town,331,,
Professional & Other Places,,States & Municipalities,331,Village,331,,
